dates,AccessLicenceAccounts/11982-DS_dom/AccUsage/FYear.Total,AccessLicenceAccounts/11982-RR_con/AccUsage/FYear.Total,AccessLicenceAccounts/11982-HS/AccUsage/FYear.Total,AccessLicenceAccounts/11982-GS/AccUsage/FYear.Total,AccessLicenceAccounts/11982-DS/AccUsage/FYear.Total,AccessLicenceAccounts/11982-LWU/AccUsage/FYear.Total,AccessLicenceAccounts/11982-SUP/AccUsage/FYear.Total,AccessLicenceAccounts/11982-DS_sto/AccUsage/FYear.Total,AccessLicenceAccounts/11982-SUP_low/AccUsage/FYear.Total,AccessLicenceAccounts/11982-HS_res/AccUsage/FYear.Total,AccessLicenceAccounts/11982-HS_tws/AccUsage/FYear.Total,AccessLicenceAccounts/11982-HS_ab/AccUsage/FYear.Total,AccessLicenceAccounts/11982-CI_con/AccUsage/FYear.Total,AccessLicenceAccounts/11982-MI_con/AccUsage/FYear.Total,AccessLicenceAccounts/11982-HS_ab/UncFlUsage/FYear.Total,AccessLicenceAccounts/11982-MI_con/UncFlUsage/FYear.Total,AccessLicenceAccounts/11982-GS/UncFlUsage/FYear.Total,AccessLicenceAccounts/11982-HS_res/UncFlUsage/FYear.Total,AccessLicenceAccounts/11982-DS_sto/UncFlUsage/FYear.Total,AccessLicenceAccounts/11982-DS_dom/UncFlUsage/FYear.Total,AccessLicenceAccounts/11982-DS/UncFlUsage/FYear.Total,AccessLicenceAccounts/11982-HS/UncFlUsage/FYear.Total,AccessLicenceAccounts/11982-CI_con/UncFlUsage/FYear.Total,AccessLicenceAccounts/11982-SUP_low/UncFlUsage/FYear.Total,AccessLicenceAccounts/11982-HS_tws/UncFlUsage/FYear.Total,AccessLicenceAccounts/11982-SUP/UncFlUsage/FYear.Total,AccessLicenceAccounts/11982-RR_con/UncFlUsage/FYear.Total,AccessLicenceAccounts/11982-LWU/UncFlUsage/FYear.Total
2010-07-01,36.4,656.0,188269.2,698967.6,11964.2,8005.5,0.0,6954.8,0.0,146.0,19769.0,450.0,54157.0,122657.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,167761.9,0.0,0.0
2011-07-01,46.5,1715.0,332150.6,1022467.4,15274.1,7636.9,0.0,8332.8,0.0,298.0,19769.0,364.2,88550.0,102010.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139785.5,0.0,0.0
2012-07-01,79.5,1564.0,336105.6,1417269.0,16298.5,10330.6,0.0,12280.2,-2.0,300.0,19769.0,506.0,103632.8,200800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92545.8,0.0,157820.9,0.0,0.0
2013-07-01,77.0,1487.2,304853.8,917845.2,17474.5,10472.6,0.0,12439.5,0.0,300.0,19769.0,1093.2,119444.4,137520.0,0.0,0.0,40457.3,0.0,0.0,0.0,0.0,0.0,0.0,8392.0,0.0,98084.6,0.0,0.0
2014-07-01,71.0,1033.2,303656.6,1076984.5,18379.9,10309.3,0.0,12498.1,0.0,300.0,19769.0,702.2,107356.3,139800.0,0.0,0.0,28014.4,0.0,0.0,0.0,0.0,0.0,0.0,82587.0,0.0,68453.7,0.0,0.0
2015-07-01,22.5,738.0,281294.1,565063.5,16774.3,12773.8,0.0,11706.6,0.0,300.0,19769.0,13.7,102346.2,147496.0,0.0,0.0,78930.8,0.0,0.0,0.0,0.0,0.0,0.0,12840.0,0.0,143789.0,0.0,0.0
2016-07-01,97.1,0.0,346767.8,1130707.1,14761.9,8706.0,0.0,11565.2,0.0,300.0,19769.0,0.0,117371.0,145121.0,0.0,0.0,839.0,0.0,0.0,0.0,0.0,0.0,0.0,59350.0,0.0,107350.3,0.0,0.0
2017-07-01,74.5,0.0,295883.4,1108144.3,16265.4,8232.7,0.0,12076.1,0.0,300.0,19769.0,0.0,102816.3,157252.0,0.0,0.0,20574.6,0.0,0.0,0.0,0.0,0.0,0.0,10486.0,0.0,39832.3,0.0,0.0
2018-07-01,101.5,0.0,302841.4,400767.3,16098.2,9106.8,0.0,11083.5,0.0,300.0,19769.0,499.5,103202.5,128458.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-07-01,118.7,0.0,250514.6,125141.0,14653.7,8453.3,0.0,9062.2,0.0,300.0,19769.0,0.0,24235.7,59514.0,0.0,0.0,16601.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11843.8,0.0,0.0
2020-07-01,0.0,0.0,1622.6,146964.9,2336.8,1001.3,0.0,228.2,0.0,0.0,2024.0,0.0,31950.0,1994.0,0.0,0.0,54348.5,0.0,0.0,0.0,0.0,0.0,0.0,32700.0,0.0,52376.3,0.0,0.0
