,dates,values
0,2010-01-01,510.30000000000007
1,2010-01-02,436.69999999999993
2,2010-01-03,578.2
3,2010-01-04,585.9
4,2010-01-05,558.5
5,2010-01-06,629.0000000000001
6,2010-01-07,605.6
7,2010-01-08,596.8000000000001
8,2010-01-09,590.6999999999999
9,2010-01-10,670.0000000000001
10,2010-01-11,674.1999999999999
11,2010-01-12,620.4999999999999
12,2010-01-13,419.09999999999997
13,2010-01-14,547.8
14,2010-01-15,596.3
15,2010-01-16,542.4
16,2010-01-17,536.4
17,2010-01-18,439.2
18,2010-01-19,530.6999999999999
19,2010-01-20,571.1999999999999
20,2010-01-21,569.6999999999999
21,2010-01-22,620.0
22,2010-01-23,581.8
23,2010-01-24,567.3
24,2010-01-25,549.8000000000001
25,2010-01-26,543.8
26,2010-01-27,565.9000000000001
27,2010-01-28,525.1
28,2010-01-29,583.3000000000001
29,2010-01-30,570.1999999999999
30,2010-01-31,515.4
31,2010-02-01,509.4
32,2010-02-02,403.2
33,2010-02-03,491.4
34,2010-02-04,383.4
35,2010-02-05,204.99999999999997
36,2010-02-06,399.09999999999997
37,2010-02-07,436.50000000000006
38,2010-02-08,374.2
39,2010-02-09,528.4
40,2010-02-10,503.7
41,2010-02-11,472.4
42,2010-02-12,304.2
43,2010-02-13,154.2
44,2010-02-14,217.4
45,2010-02-15,441.90000000000003
46,2010-02-16,456.8
47,2010-02-17,468.5
48,2010-02-18,476.40000000000003
49,2010-02-19,446.69999999999993
50,2010-02-20,407.8
51,2010-02-21,433.40000000000003
52,2010-02-22,322.19999999999993
53,2010-02-23,427.70000000000005
54,2010-02-24,464.3
55,2010-02-25,482.3
56,2010-02-26,437.2
57,2010-02-27,332.99999999999994
58,2010-02-28,240.20000000000002
59,2010-03-01,373.69999999999993
60,2010-03-02,400.20000000000005
61,2010-03-03,431.6
62,2010-03-04,293.00000000000006
63,2010-03-05,145.6
64,2010-03-06,367.00000000000006
65,2010-03-07,232.8
66,2010-03-08,330.59999999999997
67,2010-03-09,263.2
68,2010-03-10,429.29999999999995
69,2010-03-11,467.09999999999997
70,2010-03-12,421.6
71,2010-03-13,425.70000000000005
72,2010-03-14,390.9
73,2010-03-15,375.8
74,2010-03-16,403.0
75,2010-03-17,402.30000000000007
76,2010-03-18,376.09999999999997
77,2010-03-19,318.6
78,2010-03-20,368.2
79,2010-03-21,313.09999999999997
80,2010-03-22,325.3
81,2010-03-23,318.0
82,2010-03-24,275.3
