,dates,AccessLicenceAccounts/15101-DS/TYFfit/FYear.Total,AccessLicenceAccounts/15101-DS_dom/TYFfit/FYear.Total,AccessLicenceAccounts/15101-DS_sto/TYFfit/FYear.Total,AccessLicenceAccounts/15101-LWU/TYFfit/FYear.Total,AccessLicenceAccounts/15101-HS_res/TYFfit/FYear.Total,AccessLicenceAccounts/15101-HS/TYFfit/FYear.Total,AccessLicenceAccounts/15101-GS/TYFfit/FYear.Total
0,2010-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2011-07-01,79.0,44.0,15.0,15895.0,3.0,571.3,26983.0
2,2012-07-01,77.9,29.1,20.0,13448.1,3.0,557.4,17028.9
3,2013-07-01,59.0,21.8,5.0,11005.7,0.0,224.8,2924.4
4,2014-07-01,49.9,13.4,14.0,7472.2,1.5,65.8,23.9
5,2015-07-01,63.1,32.0,15.0,10646.1,0.0,256.1,2730.5
6,2016-07-01,67.0,39.8,20.0,11080.8,3.0,652.6,21816.0
7,2017-07-01,67.0,10.1,15.0,8236.6,3.0,557.6,16659.0
8,2018-07-01,60.1,30.5,15.0,7490.9,0.0,139.3,2424.1
9,2019-07-01,49.7,16.7,14.0,6091.6,1.5,59.7,0.0
10,2020-07-01,53.9,46.2,14.0,9942.6,1.5,371.0,0.9
