,dates,values
0,2010-01-01,510.3
1,2010-01-02,437.7
2,2010-01-03,580.2
3,2010-01-04,588.9
4,2010-01-05,562.5
5,2010-01-06,634.0
6,2010-01-07,611.6
7,2010-01-08,603.8
8,2010-01-09,598.7
9,2010-01-10,679.0
10,2010-01-11,684.1999999999998
11,2010-01-12,631.4999999999999
12,2010-01-13,431.09999999999997
13,2010-01-14,560.8
14,2010-01-15,610.3
15,2010-01-16,557.4
16,2010-01-17,552.4000000000001
17,2010-01-18,456.20000000000005
18,2010-01-19,548.7
19,2010-01-20,590.2
20,2010-01-21,589.6999999999999
21,2010-01-22,641.0
22,2010-01-23,603.8
23,2010-01-24,590.3
24,2010-01-25,573.8
25,2010-01-26,568.7999999999998
26,2010-01-27,591.9000000000001
27,2010-01-28,552.1
28,2010-01-29,611.3000000000001
29,2010-01-30,599.1999999999999
30,2010-01-31,545.4
31,2010-02-01,540.4
32,2010-02-02,435.20000000000005
33,2010-02-03,524.4
34,2010-02-04,417.4000000000001
35,2010-02-05,239.99999999999997
36,2010-02-06,435.09999999999997
37,2010-02-07,473.5
38,2010-02-08,412.2
39,2010-02-09,567.4000000000001
40,2010-02-10,543.6999999999998
41,2010-02-11,513.4
42,2010-02-12,346.2
43,2010-02-13,197.20000000000002
44,2010-02-14,261.40000000000003
45,2010-02-15,486.90000000000003
46,2010-02-16,502.79999999999995
47,2010-02-17,515.5
48,2010-02-18,524.4000000000001
49,2010-02-19,495.69999999999993
50,2010-02-20,457.8
51,2010-02-21,484.40000000000003
52,2010-02-22,374.2
53,2010-02-23,480.7
54,2010-02-24,518.3
55,2010-02-25,537.3000000000001
56,2010-02-26,493.19999999999993
57,2010-02-27,389.99999999999994
58,2010-02-28,298.19999999999993
59,2010-03-01,432.7
60,2010-03-02,460.20000000000005
61,2010-03-03,492.6000000000001
62,2010-03-04,355.0
63,2010-03-05,208.6
64,2010-03-06,430.99999999999994
65,2010-03-07,297.8
66,2010-03-08,396.59999999999997
67,2010-03-09,330.2
68,2010-03-10,497.29999999999995
69,2010-03-11,536.1000000000001
70,2010-03-12,491.6
71,2010-03-13,496.70000000000005
72,2010-03-14,462.9
73,2010-03-15,448.8
74,2010-03-16,477.0
75,2010-03-17,477.30000000000007
76,2010-03-18,452.09999999999997
77,2010-03-19,395.6
78,2010-03-20,446.2
79,2010-03-21,392.09999999999997
80,2010-03-22,405.29999999999995
81,2010-03-23,399.00000000000006
82,2010-03-24,357.3
83,2010-03-25,407.9
84,2010-03-26,393.79999999999995
85,2010-03-27,324.6
86,2010-03-28,320.2
87,2010-03-29,221.60000000000002
88,2010-03-30,305.29999999999995
89,2010-03-31,355.20000000000005
90,2010-04-01,359.2
91,2010-04-02,356.7
92,2010-04-03,330.00000000000006
93,2010-04-04,322.70000000000005
94,2010-04-05,352.40000000000003
95,2010-04-06,234.99999999999997
96,2010-04-07,211.0
97,2010-04-08,335.59999999999997
98,2010-04-09,235.00000000000003
99,2010-04-10,225.8
100,2010-04-11,247.2
101,2010-04-12,270.7
102,2010-04-13,320.20000000000005
103,2010-04-14,298.5
104,2010-04-15,335.3
105,2010-04-16,342.6
106,2010-04-17,329.29999999999995
107,2010-04-18,310.4999999999999
108,2010-04-19,305.3
109,2010-04-20,289.6
110,2010-04-21,322.3
111,2010-04-22,333.80000000000007
112,2010-04-23,298.2
113,2010-04-24,193.6
114,2010-04-25,307.3
115,2010-04-26,303.2000000000001
116,2010-04-27,211.10000000000002
117,2010-04-28,298.8
118,2010-04-29,251.8
119,2010-04-30,281.6
120,2010-05-01,301.2
121,2010-05-02,300.5
122,2010-05-03,291.79999999999995
123,2010-05-04,293.3
124,2010-05-05,266.90000000000003
125,2010-05-06,212.9
126,2010-05-07,255.8
127,2010-05-08,271.7
128,2010-05-09,273.40000000000003
129,2010-05-10,281.79999999999995
130,2010-05-11,267.90000000000003
131,2010-05-12,270.40000000000003
132,2010-05-13,263.2
133,2010-05-14,245.1
134,2010-05-15,255.80000000000004
135,2010-05-16,238.4
136,2010-05-17,211.00000000000003
137,2010-05-18,248.99999999999997
138,2010-05-19,254.20000000000002
139,2010-05-20,199.99999999999997
140,2010-05-21,244.9
141,2010-05-22,238.49999999999994
142,2010-05-23,243.90000000000003
143,2010-05-24,194.6
144,2010-05-25,194.5
145,2010-05-26,234.70000000000002
146,2010-05-27,227.5
147,2010-05-28,207.9
148,2010-05-29,232.90000000000006
149,2010-05-30,210.80000000000004
150,2010-05-31,261.3
151,2010-06-01,236.0
152,2010-06-02,257.40000000000003
153,2010-06-03,252.10000000000002
154,2010-06-04,249.5
155,2010-06-05,242.50000000000003
156,2010-06-06,243.20000000000002
157,2010-06-07,250.09999999999997
158,2010-06-08,233.5
159,2010-06-09,197.7
160,2010-06-10,245.50000000000003
161,2010-06-11,210.7
162,2010-06-12,258.40000000000003
163,2010-06-13,255.89999999999998
164,2010-06-14,260.40000000000003
165,2010-06-15,233.9
166,2010-06-16,226.4
167,2010-06-17,214.39999999999998
168,2010-06-18,232.20000000000005
169,2010-06-19,225.2
170,2010-06-20,237.89999999999998
171,2010-06-21,244.4
172,2010-06-22,226.00000000000003
173,2010-06-23,239.79999999999998
174,2010-06-24,270.1000000000001
175,2010-06-25,230.00000000000003
176,2010-06-26,234.90000000000003
177,2010-06-27,247.2
178,2010-06-28,239.79999999999995
179,2010-06-29,219.0
180,2010-06-30,234.70000000000005
181,2010-07-01,256.5
182,2010-07-02,219.7
183,2010-07-03,254.79999999999998
184,2010-07-04,228.9
185,2010-07-05,252.1
186,2010-07-06,229.39999999999998
187,2010-07-07,231.79999999999998
188,2010-07-08,286.99999999999994
189,2010-07-09,289.0
190,2010-07-10,231.09999999999997
191,2010-07-11,260.20000000000005
192,2010-07-12,278.8
193,2010-07-13,233.69999999999996
194,2010-07-14,254.89999999999998
195,2010-07-15,278.5999999999999
196,2010-07-16,273.8
197,2010-07-17,289.40000000000003
198,2010-07-18,292.29999999999995
199,2010-07-19,252.79999999999998
200,2010-07-20,299.69999999999993
201,2010-07-21,307.6
202,2010-07-22,307.09999999999997
203,2010-07-23,342.3
204,2010-07-24,322.79999999999995
205,2010-07-25,302.1
206,2010-07-26,344.1
207,2010-07-27,329.4
208,2010-07-28,272.80000000000007
209,2010-07-29,253.89999999999998
210,2010-07-30,256.6
211,2010-07-31,307.4000000000001
212,2010-08-01,293.49999999999994
213,2010-08-02,275.4
214,2010-08-03,363.70000000000005
215,2010-08-04,275.5
216,2010-08-05,320.09999999999997
217,2010-08-06,338.80000000000007
218,2010-08-07,359.69999999999993
219,2010-08-08,374.8
220,2010-08-09,393.29999999999995
221,2010-08-10,327.90000000000003
222,2010-08-11,290.69999999999993
223,2010-08-12,314.3
224,2010-08-13,378.1
225,2010-08-14,369.90000000000003
226,2010-08-15,354.8
227,2010-08-16,349.40000000000003
228,2010-08-17,439.90000000000003
229,2010-08-18,342.6000000000001
230,2010-08-19,337.8
231,2010-08-20,414.99999999999994
232,2010-08-21,375.0999999999999
233,2010-08-22,418.50000000000006
234,2010-08-23,375.5
235,2010-08-24,399.90000000000003
236,2010-08-25,410.8
237,2010-08-26,348.6
238,2010-08-27,393.1000000000001
239,2010-08-28,475.5
240,2010-08-29,456.79999999999995
241,2010-08-30,490.3
242,2010-08-31,472.69999999999993
243,2010-09-01,362.59999999999997
244,2010-09-02,440.20000000000005
245,2010-09-03,374.29999999999995
246,2010-09-04,317.1
247,2010-09-05,440.29999999999995
248,2010-09-06,490.20000000000005
