,dates,values
0,2010-01-01,6.000000000000001
1,2010-01-02,73.39999999999999
2,2010-01-03,59.800000000000004
3,2010-01-04,6.7
4,2010-01-05,4.0
5,2010-01-06,5.0
6,2010-01-07,15.1
7,2010-01-08,33.6
8,2010-01-09,8.0
9,2010-01-10,9.0
10,2010-01-11,10.5
11,2010-01-12,11.0
12,2010-01-13,12.0
13,2010-01-14,15.0
14,2010-01-15,33.1
15,2010-01-16,17.3
16,2010-01-17,28.1
17,2010-01-18,20.4
18,2010-01-19,18.0
19,2010-01-20,19.0
20,2010-01-21,20.0
21,2010-01-22,21.0
22,2010-01-23,27.3
23,2010-01-24,23.0
24,2010-01-25,24.0
25,2010-01-26,25.0
26,2010-01-27,26.400000000000002
27,2010-01-28,27.0
28,2010-01-29,54.1
29,2010-01-30,37.50000000000001
30,2010-01-31,30.0
31,2010-02-01,31.0
32,2010-02-02,32.0
33,2010-02-03,33.0
34,2010-02-04,34.0
35,2010-02-05,41.8
36,2010-02-06,54.300000000000004
37,2010-02-07,42.0
38,2010-02-08,40.699999999999996
39,2010-02-09,39.0
40,2010-02-10,40.0
41,2010-02-11,41.800000000000004
42,2010-02-12,42.0
43,2010-02-13,43.0
44,2010-02-14,44.0
45,2010-02-15,99.5
46,2010-02-16,88.7
47,2010-02-17,47.0
48,2010-02-18,48.0
49,2010-02-19,49.0
50,2010-02-20,50.0
51,2010-02-21,51.0
52,2010-02-22,52.0
53,2010-02-23,53.0
54,2010-02-24,55.6
55,2010-02-25,55.0
56,2010-02-26,56.0
57,2010-02-27,57.0
58,2010-02-28,58.0
59,2010-03-01,69.9
60,2010-03-02,60.0
61,2010-03-03,61.0
62,2010-03-04,62.0
63,2010-03-05,63.0
64,2010-03-06,86.39999999999999
65,2010-03-07,71.6
66,2010-03-08,67.8
67,2010-03-09,67.0
68,2010-03-10,68.0
69,2010-03-11,69.0
70,2010-03-12,70.0
71,2010-03-13,71.0
72,2010-03-14,72.0
73,2010-03-15,73.0
74,2010-03-16,74.0
75,2010-03-17,75.0
76,2010-03-18,76.0
77,2010-03-19,77.0
78,2010-03-20,78.0
79,2010-03-21,79.0
80,2010-03-22,80.0
81,2010-03-23,81.0
82,2010-03-24,82.0
83,2010-03-25,83.0
84,2010-03-26,84.0
85,2010-03-27,85.0
86,2010-03-28,86.0
87,2010-03-29,91.7
88,2010-03-30,88.0
89,2010-03-31,100.49999999999999
90,2010-04-01,90.8
91,2010-04-02,91.0
92,2010-04-03,92.0
93,2010-04-04,93.0
94,2010-04-05,94.0
95,2010-04-06,105.9
96,2010-04-07,111.70000000000002
97,2010-04-08,102.19999999999999
98,2010-04-09,98.49999999999999
99,2010-04-10,99.69999999999999
100,2010-04-11,100.0
101,2010-04-12,101.0
102,2010-04-13,102.0
103,2010-04-14,103.0
104,2010-04-15,104.0
105,2010-04-16,105.0
106,2010-04-17,106.0
107,2010-04-18,107.0
108,2010-04-19,108.0
109,2010-04-20,109.0
110,2010-04-21,110.0
111,2010-04-22,111.0
112,2010-04-23,112.0
113,2010-04-24,113.0
114,2010-04-25,114.0
115,2010-04-26,146.6
116,2010-04-27,116.0
117,2010-04-28,117.29999999999998
118,2010-04-29,118.0
119,2010-04-30,119.0
120,2010-05-01,120.0
121,2010-05-02,121.0
122,2010-05-03,122.0
123,2010-05-04,123.0
124,2010-05-05,125.6
125,2010-05-06,125.0
126,2010-05-07,126.0
127,2010-05-08,127.0
128,2010-05-09,128.0
129,2010-05-10,129.0
130,2010-05-11,130.0
131,2010-05-12,131.1
132,2010-05-13,132.0
133,2010-05-14,133.0
134,2010-05-15,134.0
135,2010-05-16,135.0
136,2010-05-17,136.0
137,2010-05-18,137.29999999999998
138,2010-05-19,138.0
139,2010-05-20,139.0
140,2010-05-21,140.0
141,2010-05-22,144.3
142,2010-05-23,142.0
143,2010-05-24,143.0
144,2010-05-25,147.2
145,2010-05-26,170.80000000000004
146,2010-05-27,149.69999999999996
147,2010-05-28,147.29999999999998
148,2010-05-29,178.89999999999998
149,2010-05-30,182.00000000000003
150,2010-05-31,156.1
151,2010-06-01,154.3
152,2010-06-02,155.4
153,2010-06-03,189.3
154,2010-06-04,155.5
